Categorie,Tratament,Pret (RON),Unitate,Descriere
Consultații,Consultație + diagnostic,100,,
Consultații,"Consultație + diagnostic + poze + plan tratament",300,,
Consultații,Consultație periodică,GRATUIT,,"O dată la 6 luni pentru pacienții noștri"
Profilaxie,Periaj profesional,100,,
Profilaxie,Detartraj ultrasunete,150,,
Profilaxie,Airflow,150,,
Profilaxie,Albire dentară profesională,1000-1500,,
Odontoterapie,Obturație fizionomică din compozit,200,,
Odontoterapie,Obturație fizionomică din glassionomer,300,,
Odontoterapie,Obturație frontală - estetică,400,,
Odontoterapie,Obturație provizorie,100,,
Odontoterapie,Aplicare izolare - DIGA,50,,
Endodonție,Tratament monoradicular,400,,"Dinte cu o rădăcină"
Endodonție,Tratament biradicular,600,,"Dinte cu două rădăcini"
Endodonție,Tratament pluriradicular,800,,"Dinte cu 3-4 rădăcini"
Endodonție,Retratament monoradicular,600,,"Dinte cu o rădăcină"
Endodonție,Retratament biradicular,800,,"Dinte cu două rădăcini"
Endodonție,Retratament pluriradicular,1000,,"Dinte cu 3-4 rădăcini"
Endodonție,Tratament cu hidroxid de calciu,200,,
Endodonție,Reconstrucție pe pivot,250,,
Protetică,Amprentă,100,arcadă,
Protetică,Scanare digitală intraorală,300,,
Protetică,Ablație coroane,50,dinte,
Protetică,Coroană metalo-ceramică,1000,,
Protetică,Coroană zirconiu monolitic,1500,,
Protetică,Coroană zirconiu stratificat E-Max,1700,,
Protetică,Fațetă ceramică E-Max,1700,,
Protetică,Fațetă pe masă refractară E-Max Ceram,2000,,
Protetică,Inlay Ceramic E-Max Press,1500,,
Protetică,Onlay Ceramic E-Max Press,1500,,
Protetică,Proteză acrilică totală,3000,,
Protetică,Coroană provizorie directă,200,dinte,
Protetică,Coroană provizorie indirectă,300,dinte,
Protetică,Wax Up / Mock up,200,dinte,
Chirurgie,Implant dentar Bredent,2750,,
Chirurgie,Implant dentar Megagen Any-one,2000,,
Chirurgie,Bont protetic Bredent,300,,
Chirurgie,Bont protetic Megagen,300,,
Chirurgie,Coroană metalo-ceramică pe implant,1200,,
Chirurgie,Coroană din zirconiu pe implant,1500,,
Chirurgie,Coroană provizorie PMMA pe implant,600,,
Chirurgie,Descoperire implant,200,,
Chirurgie,Șurub vindecare,200,,
Chirurgie,Extracție dinte pluriradicular,300,,
Chirurgie,Extracție dinte temporar,200,,
Chirurgie,Extracție molar cu separare,400,,
Chirurgie,Extracție molar de minte (odontectomie),600-800,,
Chirurgie,Gingivectomie,100,dinte,
Chirurgie,Grefă gingivală,1500-2000,,
Chirurgie,Augmentare osoasă,1500-2000,,
Ortodonție,Consultație primară,100,,
Ortodonție,Consultație secundară,250,,"Amprente + modele de studiu"
Ortodonție,Aparat ortodontic fix autoligaturant fizionomic,4500,arcadă,
Ortodonție,Aparat ortodontic fix metalic autoligaturant,4000,arcadă,
Ortodonție,Aparat ortodontic fix metalic,2800,arcadă,
Ortodonție,Activare aparat fix,150,arcadă/ședință,"Două ședințe - 250 lei"
Ortodonție,Activare aparat mobilizabil,200,,
Ortodonție,Aparat mobilizabil,1400,,
Ortodonție,Aparat miofuncțional,1600,,
Ortodonție,Disjunctor cu ancoraj dentar,1800,,
Ortodonție,"Mască facială (Delair, head-gear)",1000,,
Ortodonție,Lip bumper,700,,
Ortodonție,Recolare/înlocuire bracket,50,,
Ortodonție,Aparat fix segmentar,2000,,
Ortodonție,Contenție fixă,250,arcadă,
Ortodonție,Contenție mobilizabilă,800,,
Ortodonție,Control contenție,100,,
Ortodonție,Gutieră miofuncțională,1000,,
Ortodonție,Adaptare gutieră miofuncțională,150,,
Ortodonție,Mini-implant ortodontic,500,bucată,
Ortodonție,"Menținător de spațiu (bară palatinală, arc lingual)",800,,
Ortodonție,Îndepărtare aparat segmentar,200,,
Ortodonție,Îndepărtare aparat fix,150,,
Ortodonție,Disjunctor cu ancoraj scheletic tip MSE,3500,,
Ortodonție,Disjunctor cu ancoraj mixt,2500,,
Ortodonție,Control,100,,
Ortodonție,Tratament ortodontic cu gutiere aligner in-house,300,aligner,
Ortodonție,Menținător de spațiu uni-dentar,400,,
Ortodonție,Sistem de mezializare/distalizare cu mini-implante palatinale,4000,,
Ortodonție,Power Scope,550,caz,
Ortodonție,Tratament ortodontic cu gutiere Clear Correct,6000-15000,,
